term,coef,std_err,z,p_value,ci_low,ci_high
Group Var,,,25.4240054280636,,,
Intercept,0.5108694291374001,0.0034547378832016167,147.87501871602512,0.0,0.5040982673102987,0.5176405909645014
gini_level[T.Q2 (25-50%)],-0.00405132542977085,0.0048857371688680595,-0.8292147714342709,0.4069828878803319,-0.013627194318680935,0.005524543459139236
gini_level[T.Q3 (50-75%)],-0.01377946046237702,0.0048857371688680595,-2.820344194972216,0.004797216313391519,-0.023355329351287105,-0.004203591573466935
gini_level[T.Q4 (75-100%)],-0.04413773890204029,0.0048857371688680595,-9.033997813735494,1.655120267861665e-19,-0.05371360779095038,-0.03456187001313021
log_nct,0.015504655198531586,0.00034724917233355167,44.64994140760262,0.0,0.014824059327096482,0.01618525106996669
log_nct:gini_level[T.Q2 (25-50%)],-0.000123589926949278,0.00049108448903695,-0.2516673397517528,0.8012982036867546,-0.001086097838827955,0.000838917984929399
log_nct:gini_level[T.Q3 (50-75%)],0.010114011048381288,0.00049108448903695,20.595256568203876,3.026800766891026e-94,0.009151503136502611,0.011076518960259964
log_nct:gini_level[T.Q4 (75-100%)],0.02696525106878121,0.0004910844890369501,54.90959635410577,0.0,0.02600274315690253,0.027927758980659887
