,gini
ENSG00000000003,0.8571428571428572
ENSG00000000419,0.1636442934003928
ENSG00000000457,0.4606849470886589
ENSG00000000460,0.6304785929549515
ENSG00000000938,0.5380888754202783
ENSG00000000971,0.7398732852672866
ENSG00000001036,0.4721230298850623
ENSG00000001084,0.3730471856747215
ENSG00000001167,0.37760650954743397
ENSG00000001460,0.6248311943369759
ENSG00000001461,0.3847812963517261
ENSG00000001497,0.1538989489223803
ENSG00000001561,0.5521969800881105
ENSG00000001629,0.352343748559774
ENSG00000001630,0.670088037999667
ENSG00000001631,0.22898913259270945
ENSG00000002016,0.49169934136278964
ENSG00000002330,0.3157432746098326
ENSG00000002549,0.3744356636613127
ENSG00000002586,0.5254215948454171
ENSG00000002587,0.7143022574777033
ENSG00000002745,0.8571428571428571
ENSG00000002746,0.7587611975034512
ENSG00000002822,0.40749886489776377
ENSG00000002834,0.26710956386303264
ENSG00000002919,0.2875075993629235
ENSG00000002933,0.7370975574177476
ENSG00000003056,0.21681924673652542
ENSG00000003096,0.8069826087788252
ENSG00000003147,0.4956636628191776
ENSG00000003249,0.8199854844932051
ENSG00000003393,0.23575826795553842
ENSG00000003400,0.33043445096188756
ENSG00000003402,0.28616899885512553
ENSG00000003436,0.7408048918517228
ENSG00000003509,0.2655759228529829
ENSG00000003756,0.24679955250690844
ENSG00000003987,0.8571428571428572
ENSG00000004059,0.2736960270039592
ENSG00000004139,0.4664314273332659
ENSG00000004142,0.2559358341173199
ENSG00000004399,0.46035707791647257
ENSG00000004455,0.2440080202928937
ENSG00000004468,0.6608611956187758
ENSG00000004478,0.2274073884714289
ENSG00000004487,0.24574198701375458
ENSG00000004534,0.22469444761690244
ENSG00000004660,0.4619643037689188
ENSG00000004700,0.3232860292572473
ENSG00000004766,0.297570558219439
ENSG00000004777,0.709100951894493
ENSG00000004779,0.24415254361216507
ENSG00000004799,0.6900054200720425
ENSG00000004809,0.7471678111866852
ENSG00000004838,0.470378710024298
ENSG00000004864,0.34520947205567504
ENSG00000004866,0.5628448851366193
ENSG00000004897,0.16814994186011117
ENSG00000004939,0.6441403367678739
ENSG00000004961,0.33156697874249574
ENSG00000004975,0.3488643790130591
ENSG00000005007,0.3853063879332686
ENSG00000005020,0.348275498544197
ENSG00000005022,0.32489167842407074
ENSG00000005059,0.26206988484103094
ENSG00000005075,0.17828738582947148
ENSG00000005100,0.34211404969428694
ENSG00000005102,0.8571428571428572
ENSG00000005156,0.31923609545091713
ENSG00000005175,0.24373427763023145
ENSG00000005187,0.45791446717320033
ENSG00000005189,0.7960173002001787
ENSG00000005194,0.22378904491108786
ENSG00000005206,0.4281231167216358
ENSG00000005238,0.447932248374622
ENSG00000005243,0.6134573753067584
ENSG00000005249,0.8054487736478019
ENSG00000005302,0.35914743664589044
ENSG00000005339,0.2789970059698237
ENSG00000005379,0.7984326939130537
ENSG00000005381,0.6409143573507811
ENSG00000005436,0.3831573304799866
ENSG00000005448,0.3970365735412049
ENSG00000005469,0.5348007609616744
ENSG00000005471,0.8519111319491529
ENSG00000005483,0.24408148554464615
ENSG00000005486,0.32124464381904233
ENSG00000005513,0.7241607325016446
ENSG00000005700,0.2218400376268063
ENSG00000005801,0.32634660956762385
ENSG00000005810,0.13874307302346653
ENSG00000005812,0.1710166100770777
ENSG00000005844,0.476313537771752
ENSG00000005882,0.43339325410905166
ENSG00000005884,0.7507236757692884
ENSG00000005889,0.171722532314087
ENSG00000005893,0.2757268005062715
ENSG00000005961,0.8499090473938248
ENSG00000006007,0.37093374865089734
ENSG00000006015,0.280882670339703
ENSG00000006016,0.6510938837257232
ENSG00000006025,0.36861844004919053
ENSG00000006062,0.44870212932065046
ENSG00000006125,0.2177857414386975
ENSG00000006194,0.3940569077482929
ENSG00000006282,0.3254759244536841
ENSG00000006327,0.622990774078447
ENSG00000006432,0.7475247950945917
ENSG00000006451,0.22472797355409
ENSG00000006453,0.8531303430012077
ENSG00000006459,0.4528516298805394
ENSG00000006530,0.6426852117486558
ENSG00000006534,0.6641196736588161
ENSG00000006555,0.7264172624064045
ENSG00000006576,0.3149792344867964
ENSG00000006607,0.5273611807936031
ENSG00000006625,0.26017757526941776
ENSG00000006634,0.37950053894893343
ENSG00000006638,0.8430401096915436
ENSG00000006652,0.5611988126156702
ENSG00000006659,0.8571428571428572
ENSG00000006695,0.33177029120323226
ENSG00000006704,0.7254722396324125
ENSG00000006712,0.27122157225027765
ENSG00000006715,0.22483250510789407
ENSG00000006740,0.7522551972875802
ENSG00000006744,0.32986776718526156
ENSG00000006747,0.759255325069783
ENSG00000006756,0.3593094901024089
ENSG00000006757,0.28716068937753153
ENSG00000006831,0.19764887626167593
ENSG00000006837,0.6177723123064316
ENSG00000007038,0.4300892186139272
ENSG00000007047,0.40413724478618
ENSG00000007080,0.30299346066448796
ENSG00000007129,0.44860070142619834
ENSG00000007168,0.09682850360543567
ENSG00000007202,0.32427676715398346
ENSG00000007237,0.704726576751655
ENSG00000007255,0.2740537598038898
ENSG00000007264,0.7749943064039339
ENSG00000007312,0.7888567672178746
ENSG00000007341,0.5232874350843886
ENSG00000007350,0.7882931903912102
ENSG00000007376,0.3148152120642283
ENSG00000007392,0.2410063283962453
ENSG00000007402,0.8210403029920141
ENSG00000007516,0.7115538518548067
ENSG00000007520,0.19205130601749362
ENSG00000007541,0.24349663185267106
ENSG00000007545,0.4484841029994357
ENSG00000007866,0.8571428571428571
ENSG00000007923,0.4221415749277575
ENSG00000007944,0.4807769306563731
ENSG00000007968,0.633446163489237
ENSG00000008018,0.17624505222427597
ENSG00000008083,0.25867855820451713
ENSG00000008086,0.5839410564773693
ENSG00000008128,0.4050927130227639
ENSG00000008130,0.4837738268754028
ENSG00000008226,0.7598127512544612
ENSG00000008256,0.38516769534280443
ENSG00000008277,0.7432966191940823
ENSG00000008282,0.3924084976272712
ENSG00000008283,0.6135182530287493
ENSG00000008294,0.24476188511103036
ENSG00000008300,0.7462945942992834
ENSG00000008311,0.6567599777701784
ENSG00000008323,0.7030948981299521
ENSG00000008324,0.26227829241777395
ENSG00000008382,0.46069150868299
ENSG00000008394,0.7578342504033697
ENSG00000008405,0.45328694341890424
ENSG00000008441,0.6253138653645817
ENSG00000008513,0.26011996973173573
ENSG00000008516,0.6568638337334517
ENSG00000008517,0.6898846256420502
ENSG00000008710,0.3132219673568155
ENSG00000008735,0.7943686728938272
ENSG00000008838,0.5228655994209627
ENSG00000008853,0.5150943773549422
ENSG00000008869,0.3437328616519879
ENSG00000008952,0.31233197136204643
ENSG00000008988,0.2604455791401465
ENSG00000009307,0.20626201770581443
ENSG00000009335,0.2829153424125969
ENSG00000009413,0.26896023254714263
ENSG00000009694,0.5949062032065087
ENSG00000009765,0.7909163199643743
ENSG00000009780,0.28718881270269336
ENSG00000009790,0.40445709444985073
ENSG00000009830,0.6923288063482095
ENSG00000009844,0.2888980076698958
ENSG00000009950,0.778338720054516
ENSG00000009954,0.23060782442411268
ENSG00000010017,0.21006766276907576
ENSG00000010030,0.4455623809999453
ENSG00000010072,0.3072440912493032
ENSG00000010165,0.29057220963376057
ENSG00000010219,0.4405231918911894
ENSG00000010244,0.18210115606539853
ENSG00000010256,0.38906372722541605
ENSG00000010270,0.3903138463795341
ENSG00000010278,0.8431831161421182
ENSG00000010292,0.31687503085952345
ENSG00000010295,0.15520720824489942
ENSG00000010310,0.6389397527538756
ENSG00000010318,0.2779404857023999
ENSG00000010319,0.8571428571428571
ENSG00000010322,0.29840931548567345
ENSG00000010327,0.7438471915230503
ENSG00000010361,0.4515490146418694
