,mgc_gini
GO:0000045,0.4762755581000065
GO:0000070,0.6340819559972133
GO:0000077,0.4637106131294427
GO:0000079,0.6676616845294152
GO:0000082,0.5163958708034861
GO:0000086,0.5986019684443167
GO:0000132,0.5386784669355469
GO:0000165,0.6396191831616456
GO:0000184,0.3478141353184541
GO:0000209,0.4238872063861768
GO:0000226,0.6556939943868872
GO:0000245,0.35314615021305756
GO:0000278,0.4995901069878612
GO:0000281,0.5570294763554596
GO:0000289,0.41427378980333984
GO:0000375,0.29722839190947536
GO:0000380,0.29334890951618803
GO:0000381,0.37988199717932364
GO:0000387,0.35750650985047905
GO:0000398,0.3137794845027845
GO:0000413,0.4198013136431541
GO:0000422,0.4143608151918896
GO:0000423,0.3861479969331194
GO:0000462,0.3475172324566796
GO:0000723,0.42317787159366804
GO:0000724,0.4869667160452918
GO:0000902,0.7693227394127702
GO:0001501,0.819206933583255
GO:0001502,0.8798089988391569
GO:0001503,0.8139157413982913
GO:0001523,0.768951527605855
GO:0001525,0.7621563086755527
GO:0001541,0.7025569077831108
GO:0001556,0.7983896561501271
GO:0001558,0.5764535388808041
GO:0001568,0.7754898527027851
GO:0001569,0.8135778844790456
GO:0001570,0.7625123506911302
GO:0001578,0.6999836523897223
GO:0001580,0.9617771143737444
GO:0001649,0.7351847860705243
GO:0001654,0.7820993893907097
GO:0001656,0.8690085176786555
GO:0001657,0.7901863816814182
GO:0001658,0.8130220250173151
GO:0001659,0.8833513621679473
GO:0001662,0.8531165730384391
GO:0001666,0.6797581221810999
GO:0001675,0.9021157230717379
GO:0001676,0.731842634257944
GO:0001678,0.6092461614946796
GO:0001701,0.5392176134207286
GO:0001707,0.5876432100733429
GO:0001708,0.896101282549293
GO:0001755,0.7871539718701139
GO:0001756,0.7005305394446217
GO:0001764,0.8015592188625886
GO:0001774,0.846496414011404
GO:0001778,0.41233871329599847
GO:0001782,0.6750201566732039
GO:0001817,0.5815550502306114
GO:0001818,0.8097751309085185
GO:0001819,0.8452388717414798
GO:0001822,0.7518746587713261
GO:0001824,0.5769373454155551
GO:0001835,0.6348123843865099
GO:0001836,0.4781957486022655
GO:0001837,0.7363542120760286
GO:0001843,0.5767741644560395
GO:0001889,0.5892027437904729
GO:0001890,0.7621873897570768
GO:0001892,0.6644967451304602
GO:0001894,0.6439111184622947
GO:0001895,0.9306826060335474
GO:0001916,0.8287501127654763
GO:0001932,0.7078861562705844
GO:0001933,0.6094033171236052
GO:0001934,0.7129857849744066
GO:0001935,0.7545855104842007
GO:0001937,0.7959533506503722
GO:0001938,0.768817746205928
GO:0001942,0.7345405890397502
GO:0001947,0.6930874644557032
GO:0001954,0.7559946677885078
GO:0001958,0.8139157413982913
GO:0001974,0.7723361308802205
GO:0001975,0.8379514274720375
GO:0002027,0.8523385322443439
GO:0002040,0.8082206278963947
GO:0002042,0.7027122450947136
GO:0002052,0.8054890241219498
GO:0002053,0.7725614713734372
GO:0002062,0.7651719136796318
GO:0002088,0.8777086158949445
GO:0002092,0.7036265351148938
GO:0002181,0.3488304367183064
GO:0002218,0.39287125903348663
GO:0002223,0.7317187801320166
GO:0002224,0.6600624021002336
GO:0002227,0.8881350274215822
GO:0002230,0.583600940491837
GO:0002244,0.7193420304600913
GO:0002250,0.9521873305542607
GO:0002286,0.958741128574689
GO:0002376,0.7619402205191208
GO:0002377,0.9847613445700724
GO:0002437,0.870130192256979
GO:0002548,0.9011818201318296
GO:0002639,0.8645307633491891
GO:0002682,0.6241776662319891
GO:0002862,0.6745334438163435
GO:0002931,0.6750201566732039
GO:0003007,0.7491303333589916
GO:0003009,0.9372174892901302
GO:0003148,0.8069911746488805
GO:0003151,0.7641977339868768
GO:0003180,0.782934743334814
GO:0003203,0.7820993893907097
GO:0003281,0.6508134229194111
GO:0003333,0.8559567540381096
GO:0003341,0.8640406837617387
GO:0005975,0.6126529199740355
GO:0005977,0.4860663607967758
GO:0005978,0.4956224047177709
GO:0006006,0.5110588253419686
GO:0006091,0.5779161871112891
GO:0006094,0.5919337054575307
GO:0006096,0.6837156684454078
GO:0006099,0.3596929459009291
GO:0006120,0.37500585922207913
GO:0006123,0.3733899862920863
GO:0006139,0.44949282981024574
GO:0006259,0.4767766838559347
GO:0006260,0.494853889040117
GO:0006261,0.422160607968062
GO:0006268,0.5575973133286785
GO:0006270,0.5783159265058344
GO:0006275,0.39606998999243676
GO:0006281,0.4413108532347242
GO:0006282,0.4058143930873983
GO:0006284,0.4176994881663711
GO:0006289,0.3966455902872376
GO:0006298,0.4405594574206057
GO:0006302,0.47586887289139856
GO:0006303,0.42189984896382504
GO:0006306,0.4624335432063811
GO:0006310,0.45316674480060704
GO:0006325,0.44322864744091534
GO:0006334,0.5610509665059167
GO:0006338,0.43172720152524857
GO:0006351,0.4530853405363
GO:0006355,0.5137143774697738
GO:0006364,0.34826009439013317
GO:0006366,0.5411032345382492
GO:0006367,0.39238889761872553
GO:0006368,0.33363700847875455
GO:0006376,0.39931514400360785
GO:0006378,0.35778957673984824
GO:0006383,0.3623923768758476
GO:0006396,0.3769836676412309
GO:0006397,0.35764415474505223
GO:0006400,0.4041239398950551
GO:0006401,0.3769836676412309
GO:0006402,0.4161877346213131
GO:0006406,0.3661759141560688
GO:0006412,0.3496296640477885
GO:0006413,0.3015599810076084
GO:0006417,0.40479154491721625
GO:0006446,0.3239506953311908
GO:0006457,0.40512610562919776
GO:0006468,0.5880725689483118
GO:0006469,0.5548157452178447
GO:0006470,0.5576478327167959
GO:0006479,0.392147406662475
GO:0006486,0.6141206303577504
GO:0006487,0.41820905929606056
GO:0006493,0.6755805493605089
GO:0006506,0.4007966891991287
GO:0006508,0.8213129691515363
GO:0006509,0.47429360203648857
GO:0006511,0.4386498461835674
GO:0006513,0.44757316019790067
GO:0006541,0.465504803393595
GO:0006605,0.4805778875017505
GO:0006606,0.4564063209241501
GO:0006611,0.43882972275840104
GO:0006612,0.5264915183537241
GO:0006622,0.45627699263845106
GO:0006626,0.34632444130617823
GO:0006629,0.6945628667156006
GO:0006631,0.6266367199430606
GO:0006633,0.6137658920967607
GO:0006635,0.44128053044060433
GO:0006637,0.7547487932811017
GO:0006641,0.850256968001844
GO:0006644,0.8028536334766642
GO:0006654,0.5776738736783038
GO:0006656,0.5999371973189778
GO:0006661,0.516528234885869
GO:0006672,0.5110114329155104
GO:0006687,0.5517596772015936
GO:0006693,0.7554074574746826
GO:0006694,0.7592726149813556
GO:0006695,0.47303418304799894
GO:0006699,0.6455758778143272
GO:0006749,0.5532406393645088
GO:0006783,0.4415004573983495
GO:0006805,0.8597853850686705
GO:0006809,0.6884062021098815
GO:0006811,0.8490227096729356
GO:0006812,0.9033727662517156
GO:0006813,0.8875489710876229
GO:0006814,0.8787026202919593
GO:0006816,0.8462910320779493
GO:0006821,0.7935894346310961
GO:0006826,0.8488875527597957
GO:0006836,0.906932366488963
GO:0006839,0.4776205228727884
GO:0006865,0.7704471966204155
GO:0006869,0.7365670295252791
GO:0006874,0.8515745498073519
GO:0006879,0.5615676801933143
GO:0006882,0.6097738409614963
GO:0006883,0.8820744878539248
GO:0006884,0.6651879758202717
GO:0006886,0.4188190665215186
GO:0006887,0.6735927675569998
GO:0006888,0.3509232138754193
GO:0006890,0.34242320627666145
GO:0006891,0.33533050441181805
GO:0006893,0.4262854583419733
GO:0006897,0.613511924345559
GO:0006898,0.7102781574034442
GO:0006904,0.5872025920294445
GO:0006906,0.4114662272781905
GO:0006909,0.6939034812981115
GO:0006911,0.8514431997928497
GO:0006913,0.37866304170003884
GO:0006914,0.46757056296876465
GO:0006919,0.6242865895483877
GO:0006935,0.8666350320438932
GO:0006936,0.8763894210108293
GO:0006939,0.823475427688376
GO:0006952,0.8348249642876883
GO:0006953,0.9288061775152656
GO:0006954,0.8389019196368657
GO:0006955,0.8892622839953066
GO:0006956,0.9182807449622252
GO:0006958,0.9025141091467398
GO:0006959,0.9075755937798006
GO:0006968,0.8949912124682217
GO:0006974,0.4509354455879929
GO:0006979,0.507826504485729
GO:0006986,0.4158330696875433
GO:0006997,0.37919667715796446
GO:0006998,0.4442534063853799
GO:0007004,0.39201863666081654
GO:0007005,0.4721542355965315
GO:0007010,0.6664381556810054
GO:0007015,0.6750201566732039
GO:0007018,0.726726974068775
GO:0007020,0.4367984955788934
GO:0007026,0.6400607289045218
GO:0007029,0.42079597760099613
GO:0007030,0.45131170384310476
GO:0007031,0.41743298285265107
GO:0007032,0.42548180534414426
GO:0007035,0.5317217061401414
GO:0007040,0.4583569859664445
GO:0007041,0.5152756210240345
GO:0007042,0.37642518686268156
GO:0007043,0.8816099644542202
GO:0007049,0.4937297108876548
GO:0007052,0.5913969643346308
GO:0007059,0.4386216407881709
GO:0007080,0.3852442885089268
GO:0007088,0.6408926826651129
GO:0007094,0.7216024823419269
GO:0007095,0.49981456761992293
GO:0007098,0.5055041548908855
GO:0007099,0.5351977429221936
GO:0007129,0.9009403058041392
GO:0007130,0.9334342644118686
GO:0007131,0.8112648518775086
GO:0007140,0.8176121041323656
GO:0007141,0.8527387888209423
GO:0007155,0.8387415780940349
GO:0007156,0.8504087780380907
GO:0007157,0.9026612293288736
GO:0007159,0.8401587305097302
GO:0007160,0.7885108136447045
GO:0007162,0.7655426798338822
GO:0007163,0.6523302318503893
GO:0007166,0.8744624611796075
GO:0007169,0.8325095050764206
GO:0007173,0.6528307641474195
GO:0007179,0.6531833039778561
GO:0007187,0.921585096470884
GO:0007188,0.8751550851270091
GO:0007189,0.8910592866104262
GO:0007190,0.8769482476229675
GO:0007193,0.8656699198937352
GO:0007200,0.9175113013021541
GO:0007202,0.8821599562859233
GO:0007204,0.8672231035412264
GO:0007205,0.757589753718128
GO:0007214,0.9404668566709979
GO:0007218,0.9266392087416613
GO:0007219,0.7469880249804346
GO:0007224,0.6885797703914738
GO:0007229,0.7526477261988865
GO:0007249,0.5506784851610829
GO:0007254,0.5849674580011601
GO:0007259,0.6174547070575862
GO:0007264,0.6593159417045774
GO:0007265,0.6878636345079967
GO:0007266,0.5831119416336797
GO:0007267,0.8850771156916171
GO:0007268,0.9103845801796197
GO:0007269,0.8275381024606803
GO:0007271,0.9155767876076553
GO:0007274,0.9190206639795049
GO:0007275,0.8655473337535986
GO:0007276,0.564884563314854
GO:0007281,0.704526878091392
GO:0007283,0.8267805603058013
GO:0007286,0.8494701853128384
GO:0007288,0.8085137043207187
GO:0007338,0.8588673245832237
GO:0007339,0.8669552477078404
GO:0007342,0.9555448161383719
GO:0007346,0.4386266359616307
GO:0007368,0.7308370958855324
GO:0007369,0.6755687057786103
GO:0007389,0.8702915330141207
GO:0007399,0.772924204771464
