,gini
ENSG00000000003,0.6140768658607632
ENSG00000000005,0.9334696125535867
ENSG00000000419,0.33995937596243764
ENSG00000000457,0.3715897794925543
ENSG00000000460,0.6605314055507463
ENSG00000000938,0.8885108550091529
ENSG00000000971,0.7947745082138844
ENSG00000001036,0.3880732587997637
ENSG00000001084,0.4974743833058079
ENSG00000001167,0.3549843978355712
ENSG00000001460,0.6188597019125787
ENSG00000001461,0.5437948972706353
ENSG00000001497,0.32374256484247976
ENSG00000001561,0.5665209783695818
ENSG00000001617,0.7119235163181957
ENSG00000001626,0.8846273765255123
ENSG00000001629,0.577728598145524
ENSG00000001630,0.626407278493349
ENSG00000001631,0.48774882540375025
ENSG00000002016,0.678635897227313
ENSG00000002330,0.30243795002657486
ENSG00000002549,0.3822544385214229
ENSG00000002586,0.5261173758266869
ENSG00000002587,0.7019848962104228
ENSG00000002726,0.9225244806105382
ENSG00000002745,0.8961137143420931
ENSG00000002746,0.9420376677113227
ENSG00000002822,0.7594991405731916
ENSG00000002834,0.37344604678123944
ENSG00000002919,0.3522337784297563
ENSG00000002933,0.7661144667706719
ENSG00000003056,0.3224249130965469
ENSG00000003096,0.7470861759194839
ENSG00000003137,0.882458724062123
ENSG00000003147,0.654468895911021
ENSG00000003249,0.6254432060687287
ENSG00000003393,0.5152756210240345
ENSG00000003400,0.5822312822957255
ENSG00000003402,0.4577390671121681
ENSG00000003436,0.8096502982414893
ENSG00000003509,0.4436256068899218
ENSG00000003756,0.395946018745046
ENSG00000003987,0.9061298276369177
ENSG00000003989,0.6621781448515802
ENSG00000004059,0.30511438381746475
ENSG00000004139,0.6032535144071194
ENSG00000004142,0.31232972617301397
ENSG00000004399,0.6686630062127724
ENSG00000004455,0.3160909927146036
ENSG00000004468,0.8154324211012949
ENSG00000004478,0.36032277306487603
ENSG00000004487,0.37676941118363794
ENSG00000004534,0.4445170159807522
ENSG00000004660,0.7108877793001419
ENSG00000004700,0.3667465584365127
ENSG00000004766,0.5849484689348855
ENSG00000004776,0.8720400052567074
ENSG00000004777,0.6810698331778122
ENSG00000004779,0.35659996363133406
ENSG00000004799,0.7862069784595366
ENSG00000004809,0.9532488044500695
ENSG00000004838,0.9128321923899977
ENSG00000004846,0.9219615127559182
ENSG00000004848,0.9125172257663587
ENSG00000004864,0.5312344804583766
ENSG00000004866,0.6892386449103137
ENSG00000004897,0.4386266359616307
ENSG00000004939,0.9827212052132813
ENSG00000004948,0.9466693360320323
ENSG00000004961,0.3303713789783137
ENSG00000004975,0.36920124112072816
ENSG00000005001,0.8372939620856821
ENSG00000005007,0.32547319390860785
ENSG00000005020,0.5690803367508794
ENSG00000005022,0.44661251699177756
ENSG00000005059,0.5439221870072267
ENSG00000005073,0.9555238104249768
ENSG00000005075,0.3197871885698332
ENSG00000005100,0.3491023012430812
ENSG00000005102,0.944345233356566
ENSG00000005108,0.8492212767640279
ENSG00000005156,0.36095168437557346
ENSG00000005175,0.2522351163741827
ENSG00000005187,0.7547487932811017
ENSG00000005189,0.9037642135111325
ENSG00000005194,0.3946839534322832
ENSG00000005206,0.5004108481404945
ENSG00000005238,0.42250010076258737
ENSG00000005243,0.6687510822091477
ENSG00000005249,0.768037720467726
ENSG00000005302,0.45159893416140534
ENSG00000005339,0.40519494193688943
ENSG00000005379,0.7585375250204413
ENSG00000005381,0.9589304339458208
ENSG00000005421,0.9512616963617677
