,mgc_gini,mgc_gini_others,wilcoxon_stat,p_value
GO:0048812,0.09998868210971748,0.058601999617169526,2.6463856883842323,0.008135699710672796
GO:0048813,0.07398400358737885,0.05867806111984686,0.02712377418379219,0.9783610126779198
GO:0048814,0.10804755029820462,0.05861840410610588,2.7371504773463107,0.006197393768407788
GO:0048821,0.04304867070135868,0.058742197954687894,-0.6624364538330788,0.5076915476574311
GO:0048839,0.17941525745557307,0.05858075688909424,4.674431709636804,2.947686966384004e-06
GO:0048843,0.16844894099603175,0.05862527041747731,2.8017751531075503,0.00508222812322345
GO:0048844,0.11373829392716181,0.05860794911696448,2.35584384132241,0.018480684799745583
GO:0048854,0.044683973819133915,0.058746546899483665,-0.998250232229472,0.31815803385156805
GO:0048856,0.12504065930719244,0.058586673729695636,3.7313432114614495,0.00019046153329164625
GO:0048863,0.06522091868888612,0.058702938784934405,-0.5084102331190501,0.6111656778119039
GO:0048870,0.10040156260999356,0.05862527041747731,2.173695087784393,0.029728041822087162
GO:0048873,0.055178002668514525,0.05872877970875455,0.5773063694339952,0.563732511688763
GO:0050482,0.08464682024217979,0.058659454905038606,1.798348404532952,0.07212181358242378
GO:0050673,0.07199959090256601,0.05867010095855257,1.1059737510078,0.2687378809006813
GO:0050678,0.06473497297986214,0.058674081039199716,1.249437441502782,0.21150512118396037
GO:0050679,0.15214217479733746,0.05855318485100966,4.269154711568273,1.9621514021533746e-05
GO:0050680,0.09408664150093328,0.05860794911696448,2.3569902667947527,0.01842372975169395
GO:0050714,0.07680500687897358,0.058674081039199716,0.6199244429292795,0.5353075324546915
GO:0050727,0.07468818763133436,0.05861385484591568,1.9285916043399667,0.05378158213614164
GO:0050728,0.07069271514204858,0.05860794911696448,2.0088338059524977,0.044554761781573755
GO:0050729,0.08929509800512263,0.05858507674481711,3.479656152530486,0.0005020576934963955
GO:0050730,0.07385571839794607,0.05867010095855257,0.6428213770930888,0.5203400104004725
GO:0050731,0.08923976536075658,0.0585608622433876,2.757896424397663,0.005817462748047489
GO:0050766,0.11622878548627191,0.058586673729695636,3.5376667080538824,0.00040367926320148697
GO:0050767,0.14285310912820345,0.05859740658613557,3.6346708748848506,0.00027833573150637544
GO:0050768,0.12971035135174117,0.05864880885152464,1.7386497132947305,0.08209639637032333
GO:0050769,0.09451113852751218,0.058659454905038606,1.769104813254945,0.0768763848239991
GO:0050770,0.05973746286983111,0.058702938784934405,0.14173956473855243,0.8872857222755959
GO:0050772,0.12721410241502132,0.058609305585725475,2.3601859344971055,0.018265777465203286
GO:0050775,0.05546831510089169,0.058742197954687894,-0.3513148011075983,0.7253521920882043
GO:0050776,0.07991037506624099,0.05864047279018669,1.1467009310141227,0.25150524556752185
GO:0050790,0.09253154440660603,0.05867010095855257,0.6632532346501435,0.5071683822037306
GO:0050796,0.12477591003237802,0.058586673729695636,3.6909596024283235,0.00022340962108042845
GO:0050804,0.06670441777635937,0.05867010095855257,0.5208242927848176,0.6024891785425623
GO:0050807,0.078375127124539,0.058674081039199716,0.5031118488857711,0.6148856365413574
GO:0050808,0.05917380097607555,0.05871100572895166,0.362473190742936,0.7169984540600665
GO:0050821,0.04103171957580669,0.05892581682899155,-3.838519065892662,0.00012377860474197742
GO:0050829,0.08095421662275905,0.05862527041747731,1.797097101150038,0.07232020585359535
GO:0050830,0.12106260712148047,0.058529128245492223,4.8552049124882934,1.2026231799008365e-06
GO:0050832,0.11768005479532669,0.05863213672884875,2.178219892708884,0.02938966975565171
GO:0050850,0.09114847818649682,0.05869049995239063,0.7189627242891924,0.47216388725877634
GO:0050852,0.052951799398605844,0.05871907267296891,-0.18205422727072748,0.855540169697165
GO:0050853,0.06910258859185797,0.058659454905038606,0.34061562883522906,0.7333929622055524
GO:0050860,0.06630062502737123,0.05867806111984686,0.5147714667768467,0.6067127263169949
GO:0050870,0.10842532514107825,0.058659454905038606,1.7243886693122241,0.0846377016725107
GO:0050873,0.0955320105004498,0.05863213672884875,2.0622576282006646,0.03918321476348422
GO:0050877,0.08351327669444951,0.058586673729695636,2.3452913012089636,0.01901221901394169
GO:0050885,0.05234728575763828,0.05875406860838925,-0.37752040579650187,0.7057869027115337
GO:0050890,0.05965660981587792,0.05871100572895166,0.017805482780892386,0.9857940308275374
GO:0050896,0.0959959632903787,0.058586673729695636,3.5577247574411714,0.0003740809855401836
GO:0050900,0.12193989640923344,0.058659454905038606,1.446286235559028,0.1480969347978873
GO:0050901,0.10019455959239959,0.05863213672884875,1.9782303264736754,0.04790272900737518
GO:0050908,0.14502895750867328,0.05861840410610588,2.5843974411270447,0.009754931169138819
GO:0050911,0.2685936520159148,0.058346968655517265,10.127069337856382,4.1902004910238544e-24
GO:0050918,0.17948842743703775,0.058601999617169526,3.1586620489738606,0.0015849516636563194
GO:0050919,0.15723240650925957,0.05858347975993859,3.649017661663049,0.00026324500742202074
GO:0051000,0.07259188717296032,0.05867806111984686,1.4099262257906615,0.15856146786760938
GO:0051016,0.08398804294659165,0.058674081039199716,0.6541928896193325,0.512987541945318
GO:0051017,0.07781322548890482,0.058659454905038606,1.2296120346230488,0.21884242123646136
GO:0051028,0.03240953336780959,0.05882619724785942,-3.1165780596767236,0.0018296323474885536
GO:0051056,0.09892540062717671,0.05851137057365087,3.6190531369538887,0.0002956829253496823
GO:0051085,0.033791220321825396,0.058776136845449675,-1.8665806746272566,0.06196016840263285
GO:0051090,0.045364596971364,0.058742197954687894,-0.43887248949187985,0.6607539315170723
GO:0051091,0.098289797482249,0.05857803401824988,2.914415137083966,0.0035635568020265553
GO:0051092,0.0761728006081925,0.058586673729695636,2.6091600641468813,0.009076477570103837
GO:0051123,0.03404063753144243,0.058840217445968776,-3.66658509668771,0.00024581114298232484
GO:0051131,0.05636107053041454,0.05871100572895166,-1.055032368344099,0.2914105212996374
GO:0051179,0.045529514242429535,0.058745909164835595,-0.6350669177727449,0.5253847721469966
GO:0051209,0.08178879615472373,0.05864880885152464,1.4792810119230975,0.13906522555976572
GO:0051216,0.1054482609400174,0.05859740658613557,2.823169244223905,0.00475514624396176
GO:0051225,0.03534978036680979,0.05880407802676626,-1.6864605616958641,0.09170712513922163
GO:0051247,0.0704639915093197,0.058702938784934405,1.0847260027206294,0.27804302760154254
GO:0051260,0.08419597408129252,0.05858347975993859,2.8312701511198335,0.004636354316200855
GO:0051262,0.06499472076439292,0.058702938784934405,0.401243270031385,0.6882410262167076
GO:0051276,0.06672550945024135,0.05867806111984686,0.10917019490149306,0.9130675000084708
GO:0051281,0.07628345084162069,0.05864880885152464,1.474485191627416,0.140351001908045
GO:0051289,0.06710045478412845,0.05861840410610588,0.5363491494763242,0.5917172682527074
GO:0051301,0.04018505900274824,0.059242225188319814,-5.756194802653167,8.603110335147018e-09
GO:0051302,0.045776048630101526,0.05874718463413173,-1.3795102027196886,0.16773750270653054
GO:0051321,0.04571026704352272,0.05882043398733988,-2.2849585393618836,0.02231525896755561
GO:0051384,0.12443154408841232,0.05857803401824988,3.144031932437513,0.0016663725497871726
GO:0051402,0.06677966920440566,0.05863213672884875,0.4160087409151067,0.677403607081877
GO:0051443,0.034322484405707766,0.0587384867445402,-1.474728446100561,0.14028556515164095
GO:0051445,0.03532886229417002,0.058768544714048215,-1.9110758630610711,0.05599483247222106
GO:0051453,0.07200986444443935,0.05869049995239063,0.7227677729862216,0.46982256978566916
GO:0051480,0.13817454123129258,0.05857803401824988,4.011023062979197,6.04562036294617e-05
GO:0051482,0.11022330979962386,0.05863213672884875,2.969699608465271,0.0029809108051204645
GO:0051491,0.09332469641757932,0.05864047279018669,1.7497127646125676,0.08016788998415653
GO:0051493,0.0705803813470418,0.05867806111984686,0.6893361512844433,0.49061175304810434
GO:0051496,0.08337132523751783,0.05860794911696448,2.080734175893092,0.037458244073624775
GO:0051497,0.09148269784355256,0.058659454905038606,2.063741150028004,0.039042265518740356
GO:0051568,0.028745577302884573,0.058840217445968776,-3.9223417514009538,8.769248852435403e-05
GO:0051571,0.029402689750654378,0.05874718463413173,-2.315318818148144,0.02059549064673616
GO:0051591,0.0831009389796291,0.05863213672884875,1.492011902324644,0.13569602512414122
GO:0051592,0.11952638079682125,0.05855441178620471,3.6005583779881545,0.00031753452156997055
GO:0051602,0.10191424290948863,0.05862527041747731,2.5626314637118286,0.010388225113410757
GO:0051603,0.08564537360147248,0.05864047279018669,0.9983282382938495,0.3181202189018043
GO:0051607,0.058512737686226335,0.05872877970875455,0.36714332271330574,0.7135121134235175
GO:0051649,0.0885066002534087,0.05858075688909424,2.5470850523257558,0.010862695431062639
GO:0051726,0.04391266034669641,0.058879077308886536,-3.5009743132868545,0.00046356052184667954
GO:0051781,0.18158073017738485,0.05855441178620471,4.26566185792278,1.9931045651951626e-05
GO:0051865,0.03911908599224367,0.0588587523310084,-3.1256831543486037,0.001773925665737033
GO:0051881,0.0469920351328541,0.05875406860838925,-1.6382045755170906,0.10137902548153527
GO:0051893,0.03660887525110862,0.058742197954687894,-1.223806318788301,0.2210253000782657
GO:0051894,0.07433430573627053,0.058674081039199716,1.5398562992374816,0.12359538508961046
GO:0051897,0.07628345084162069,0.05858347975993859,1.9689362129542058,0.04896041643278162
GO:0051898,0.04906488657519649,0.05874718463413173,-0.7722085008883814,0.4399909474660352
GO:0051899,0.07441685085831726,0.05869049995239063,0.6003604748613094,0.5482660232983996
GO:0051924,0.06807938537770802,0.05867010095855257,1.668485915071737,0.09521930566511053
GO:0051928,0.11951841742282088,0.05861840410610588,2.7952178731146784,0.0051864748727297435
GO:0051930,0.10218539004273094,0.058586673729695636,3.8199812435047478,0.00013346182270090092
GO:0051932,0.08269502427878955,0.05864047279018669,0.9322534584249408,0.3512055541164141
GO:0051965,0.11198178734104271,0.05858507674481711,3.217983717201795,0.001290951462255307
GO:0051966,0.05949966282863177,0.058702938784934405,1.06447886654749,0.2871118230983558
GO:0051968,0.13115732402724084,0.05861385484591568,3.4372609801061453,0.000587629104613996
