,mgc_gini,mgc_gini_others,wilcoxon_stat,p_value
GO:0000045,0.36555322736785334,0.42660646834061233,-1.3574538982295843,0.1746370324409503
GO:0000070,0.43488914467518075,0.4263335001191128,-0.012170581176716736,0.9902895209079821
GO:0000077,0.3655147126824374,0.42702420661607104,-2.084678215437806,0.03709851937813899
GO:0000079,0.4899785920030687,0.42616560614802684,0.7686920006409119,0.44207617481722916
GO:0000082,0.3835703439416632,0.4270106887710649,-1.3307254786223537,0.18327935631947667
GO:0000086,0.5291275808914697,0.42614273109960776,1.407194968328147,0.1593695832647246
GO:0000132,0.40824700130269415,0.4263881534155733,-0.5984841706923801,0.5495169178882815
GO:0000165,0.4409520060070362,0.42611985605118874,0.574172117568288,0.5658513353157506
GO:0000184,0.25341742477485085,0.42715481698245417,-4.905732503451475,9.307930757987154e-07
GO:0000209,0.31417363100556933,0.4285811251317907,-5.95478511974138,2.6041375772446937e-09
GO:0000226,0.4400924586939222,0.4262959983211081,0.8555081432352398,0.39226989822878644
GO:0000245,0.23968333484059545,0.42715481698245417,-5.537207922577393,3.073316199584418e-08
GO:0000278,0.395046533678904,0.42666116647249724,-1.1627194993863788,0.2449433275340891
GO:0000281,0.37624047051034587,0.42675864770422056,-1.0540222422147763,0.2918727340186521
GO:0000289,0.28885649732868396,0.4270361950167309,-2.9096324967029066,0.0036185397156214107
GO:0000375,0.23064798274541906,0.4271816713023259,-6.1034755954615765,1.0378642162702879e-09
GO:0000380,0.23050942136111258,0.42709019144294613,-5.069695848892173,3.9845193527532086e-07
GO:0000381,0.2390530261657462,0.42721946866993665,-4.899757218398616,9.5955152746084e-07
GO:0000387,0.2631513456002063,0.42721946866993665,-5.093292121791657,3.5189885481026917e-07
GO:0000398,0.23624446303940794,0.43034707733846356,-14.22123278684499,6.765058890638271e-46
GO:0000413,0.3151735295640153,0.42675864770422056,-2.090809312787821,0.03654516096224853
GO:0000422,0.32821159346786566,0.42704818341739076,-2.918903587084765,0.003512648463018712
GO:0000423,0.32544246963851714,0.427017447693568,-2.2852183802658703,0.02230002597618555
GO:0000462,0.27246316315386065,0.42715481698245417,-4.262917053801215,2.0177543196491524e-05
GO:0000723,0.31365135043945047,0.42733901347221037,-3.5406902133135345,0.0003990818533528185
GO:0000724,0.3512100675792276,0.4272572660375474,-3.266534256776819,0.001088726345129583
GO:0000902,0.44402157356679317,0.4262625670267879,0.1391840486641311,0.8893047131316574
GO:0001501,0.5620655814571252,0.42598770647525347,2.323796325341349,0.020136412788056984
GO:0001502,0.48201440546693985,0.4262959983211081,1.035886603883654,0.30025504797555724
GO:0001503,0.5798561472990225,0.42598770647525347,2.5906198164566714,0.009580326500573597
GO:0001523,0.6836667062737145,0.4261674315949357,2.3916592197855655,0.016772407332961453
GO:0001525,0.5950678411115974,0.4243957283850913,6.449244702628717,1.12408940971926e-10
GO:0001541,0.5065738742266314,0.42621028192762306,0.31193826667097335,0.7550874398719123
GO:0001556,0.5543734844700172,0.4262291357324676,1.2687510927323542,0.2045298533856409
GO:0001558,0.40271314653541657,0.4270106887710649,-0.6088315636163476,0.542636089856732
GO:0001568,0.4463026818762631,0.4261914281227785,0.6064921602878,0.544187986685656
GO:0001569,0.39711342900455426,0.42646996181215036,0.10514448965768429,0.9162611572896642
GO:0001570,0.5060362137867145,0.4260217607295844,2.9020111271124605,0.003707753702458254
GO:0001578,0.42589754438370486,0.4263710019171175,0.1451964055622753,0.8845558038075452
GO:0001580,0.4059305794222761,0.4263795776663454,0.47075458178770585,0.6378160017547783
GO:0001649,0.3856339826041573,0.42675864770422056,-0.1506769559262076,0.8802305521744045
GO:0001654,0.4627329502302664,0.4262959983211081,1.8305508027630915,0.06716761741128605
GO:0001656,0.5942446812343481,0.4261914281227785,1.519782810879631,0.12856557063245164
GO:0001657,0.6434357392547722,0.42616651887148127,2.567616451368365,0.010240038827280945
GO:0001658,0.6169182648998033,0.4261674315949357,2.209991521924992,0.027105750692678808
GO:0001659,0.4545383867001832,0.4262959983211081,-0.02114851148824969,0.9831271869633659
GO:0001662,0.5878755135639876,0.4263335001191128,0.4929912807614393,0.6220187482121582
GO:0001666,0.4925484373857054,0.42605581498391537,1.7248409128568616,0.08455614636371084
GO:0001675,0.5189478379230034,0.42621028192762306,1.0920748356215209,0.2748002091692795
GO:0001676,0.5312162465803725,0.4262291357324676,1.4811296063121309,0.1385720398590767
GO:0001678,0.40282703196944925,0.42646996181215036,-0.23927060638402553,0.8108957562184766
GO:0001701,0.3936151205527041,0.42702420661607104,-1.4456386172032134,0.1482785893036388
GO:0001707,0.4420357680389595,0.4263710019171175,-0.2660834129205636,0.7901749692344383
GO:0001708,0.517590085959488,0.4262291357324676,0.9774164795144126,0.3283630077494446
GO:0001755,0.6437125954951275,0.42614273109960776,3.267148560578532,0.0010863665566173645
GO:0001756,0.4748768787314157,0.4261914281227785,0.8338704035348685,0.40435401675949856
GO:0001764,0.5420988791283403,0.42611985605118874,2.5244295977534477,0.011588621434646862
GO:0001774,0.7299824250751895,0.426087835517552,3.9615080344297913,7.44778754594958e-05
GO:0001778,0.38333710874725324,0.4263881534155733,-1.6252144175396424,0.10411687944259093
GO:0001782,0.3668334769525583,0.42646996181215036,-1.1287811491993058,0.2589901667051142
GO:0001817,0.41500709643590206,0.42646996181215036,0.22996216975618355,0.8181211661060938
GO:0001818,0.6245068901201555,0.42611985605118874,2.5727533093527866,0.010089309373098893
GO:0001819,0.6099274488417255,0.42590363957827687,3.026997684680499,0.002469958502519094
GO:0001822,0.4996057745629068,0.42616560614802684,0.7275409877756198,0.46689461604367233
GO:0001824,0.4247391190219383,0.4263881534155733,0.10612947921469668,0.9154796221914162
GO:0001835,0.4203594395514072,0.4263881534155733,-0.6868111862666761,0.4922017196786439
GO:0001836,0.3531110300339605,0.42675864770422056,-1.4156424286887053,0.15688022220987005
GO:0001837,0.49336497588229317,0.42621028192762306,0.9679907847545587,0.33304897201946215
GO:0001843,0.42727328842945084,0.4263710019171175,0.008957326966555375,0.9928531826767238
GO:0001889,0.43969870097919544,0.4263335001191128,-1.1138386887954066,0.2653483960005484
GO:0001890,0.5209434933908654,0.42621028192762306,1.0135438559431764,0.31080045938890866
GO:0001892,0.3883367315402345,0.42655177020872737,-0.7060253933176965,0.48017234601600445
GO:0001894,0.6011274324732152,0.4263335001191128,0.9575438251823615,0.3382928372158298
GO:0001895,0.5528120935563519,0.4262959983211081,1.044337287266368,0.29632936723618475
GO:0001916,0.6869362037052646,0.42614273109960776,2.8937668630915088,0.003806506748665869
GO:0001932,0.4458912123995989,0.4262959983211081,0.013640220255209976,0.9891170163268224
