,gini
ENSG00000000003,0.6173947390399658
ENSG00000000005,0.6704633863735507
ENSG00000000419,0.09283977579508021
ENSG00000000457,0.12138476241725847
ENSG00000000460,0.45148990540869743
ENSG00000000938,0.7813305895841299
ENSG00000000971,0.8048225947081282
ENSG00000001036,0.18228653988330523
ENSG00000001084,0.24704192751590295
ENSG00000001167,0.3560022155392143
ENSG00000001460,0.24784420296397291
ENSG00000001461,0.32505251264399637
ENSG00000001497,0.19319880854439833
ENSG00000001561,0.3972025538525044
ENSG00000001617,0.7083675409482573
ENSG00000001626,0.7254757387694812
ENSG00000001629,0.27671558673657537
ENSG00000001630,0.1138983290458654
ENSG00000001631,0.15319441057335226
ENSG00000002016,0.09590324445277844
ENSG00000002330,0.23937468421119948
ENSG00000002549,0.339972452748686
ENSG00000002586,0.7184969983240806
ENSG00000002587,0.4642056682275836
ENSG00000002726,0.6879898624880042
ENSG00000002745,0.6733617361471542
ENSG00000002746,0.5779269147555303
ENSG00000002822,0.16259727339559155
ENSG00000002834,0.363046198450237
ENSG00000002919,0.20457540554586082
ENSG00000002933,0.6005045834725735
ENSG00000003056,0.1659723992676862
ENSG00000003096,0.45288495847024635
ENSG00000003137,0.4977050850285123
ENSG00000003147,0.4065844549681381
ENSG00000003249,0.27568297300845007
ENSG00000003393,0.1809704855240917
ENSG00000003400,0.8153935227209904
ENSG00000003402,0.5771897339666543
ENSG00000003436,0.7771589867269483
ENSG00000003509,0.14725229762698078
ENSG00000003756,0.11966783916963451
ENSG00000003987,0.4113453151473514
ENSG00000003989,0.6680477178993894
ENSG00000004059,0.06815585952481339
ENSG00000004139,0.22477008984602861
ENSG00000004142,0.1545757067159434
ENSG00000004399,0.5240772935608152
ENSG00000004455,0.1370405282731794
ENSG00000004468,0.7955683673871102
ENSG00000004478,0.1222298294813245
ENSG00000004487,0.09687206169113313
ENSG00000004534,0.10580942765870717
ENSG00000004660,0.46841310244858614
ENSG00000004700,0.19455330917359834
ENSG00000004766,0.07560130677991908
ENSG00000004776,0.7280781228263238
ENSG00000004777,0.24316173663878513
ENSG00000004779,0.11364957766933832
ENSG00000004799,0.6927905594222578
ENSG00000004809,0.6672416248169697
ENSG00000004838,0.37700382253363074
ENSG00000004846,0.43054857647705347
ENSG00000004848,0.6365010283859158
ENSG00000004864,0.4929383066211566
ENSG00000004866,0.2592184189094592
ENSG00000004897,0.11296102995531725
ENSG00000004939,0.6715399497955047
ENSG00000004948,0.8063854521093039
ENSG00000004961,0.11619689756112522
ENSG00000004975,0.20926826893385203
ENSG00000005001,0.7312513626899773
ENSG00000005007,0.19629976999735785
ENSG00000005020,0.6117242483956674
ENSG00000005022,0.14956136548773852
ENSG00000005059,0.48642693651174657
ENSG00000005075,0.29776276131546825
ENSG00000005100,0.13400524633432076
ENSG00000005102,0.2936446232535394
ENSG00000005108,0.4344529526444214
ENSG00000005156,0.09970204557174459
ENSG00000005175,0.12808371222832513
ENSG00000005187,0.6452531234212209
ENSG00000005189,0.2475605832486305
ENSG00000005194,0.10416401162695925
ENSG00000005206,0.28185542920914836
ENSG00000005238,0.413282986046782
ENSG00000005243,0.4161106613368272
ENSG00000005249,0.4353911590226843
ENSG00000005302,0.25974322966130914
ENSG00000005339,0.1167290043511754
ENSG00000005379,0.4755163464659541
ENSG00000005381,0.6799730414746953
ENSG00000005421,0.730710200909466
ENSG00000005436,0.1491673236408115
ENSG00000005448,0.3103985165355344
ENSG00000005469,0.18393899768833444
ENSG00000005471,0.654468924846093
ENSG00000005483,0.13841745458209118
ENSG00000005486,0.2449965052567044
ENSG00000005513,0.5540814697246021
ENSG00000005700,0.17446292686206658
ENSG00000005801,0.12522702320281742
ENSG00000005810,0.17781877509411492
ENSG00000005812,0.18586532888718946
ENSG00000005844,0.6798781599746335
ENSG00000005882,0.22014226791373678
ENSG00000005884,0.42617814805049803
ENSG00000005889,0.18862775070634932
ENSG00000005893,0.5352905484044815
ENSG00000005961,0.42791153356007616
ENSG00000005981,0.671488174749659
ENSG00000006007,0.1665510657089701
ENSG00000006015,0.2038834073172741
ENSG00000006016,0.6830286317608035
ENSG00000006025,0.3426324843258285
ENSG00000006042,0.7817579106435081
ENSG00000006047,0.5456168905130104
ENSG00000006059,0.8143593204191433
ENSG00000006062,0.40978289044042027
ENSG00000006071,0.31320250935144833
ENSG00000006116,0.629600576101919
ENSG00000006118,0.5732718177043704
ENSG00000006125,0.09883827093763589
ENSG00000006128,0.7141330360410193
ENSG00000006194,0.1355700813540382
ENSG00000006210,0.3298397021098487
ENSG00000006282,0.290306480980135
ENSG00000006283,0.5076291644454545
ENSG00000006327,0.6282865922064392
ENSG00000006377,0.7985027324303994
ENSG00000006432,0.5158566787707748
ENSG00000006451,0.14359814775507845
ENSG00000006453,0.23760769725667377
ENSG00000006459,0.3540868764345877
ENSG00000006468,0.3681711550615843
ENSG00000006530,0.08661691234059826
ENSG00000006534,0.5273130845304076
ENSG00000006555,0.722441509902991
ENSG00000006576,0.1591218801917708
ENSG00000006606,0.5608475726969475
ENSG00000006607,0.28253716495353925
ENSG00000006611,0.655078567445216
ENSG00000006625,0.24422490086887952
ENSG00000006634,0.2433905362020073
ENSG00000006638,0.5720707067807722
ENSG00000006652,0.23393260115534137
ENSG00000006659,0.825030162257665
ENSG00000006695,0.08485090102637492
ENSG00000006704,0.23777441904028676
ENSG00000006712,0.3311712342501037
ENSG00000006715,0.08857369198771088
ENSG00000006740,0.4665601072424031
ENSG00000006744,0.10459362883498816
ENSG00000006747,0.8186640312332549
ENSG00000006756,0.4862335169044289
ENSG00000006757,0.20674572704521438
ENSG00000006788,0.4702481839469649
ENSG00000006831,0.4721352537872272
ENSG00000006837,0.12983345718850894
ENSG00000007001,0.3091866651974713
ENSG00000007038,0.7192558511097725
ENSG00000007047,0.17614517573425392
ENSG00000007062,0.6117163741065834
ENSG00000007080,0.20270376434540158
ENSG00000007129,0.8130044671776504
ENSG00000007168,0.09255750380459513
ENSG00000007171,0.48384744877780517
ENSG00000007174,0.23086237020485179
