GO:0000049
GO:0000146
GO:0000149
GO:0000166
GO:0000175
GO:0000287
GO:0000976
GO:0000977
GO:0000987
GO:0000993
GO:0001221
GO:0001222
GO:0001223
GO:0001227
GO:0001228
GO:0001530
GO:0001540
GO:0001618
GO:0001664
GO:0001671
GO:0001784
GO:0001786
GO:0001965
GO:0001968
GO:0001972
GO:0002020
GO:0002039
GO:0003676
GO:0003678
GO:0003682
GO:0003684
GO:0003690
GO:0003697
GO:0003700
GO:0003707
GO:0003712
GO:0003713
GO:0003714
GO:0003724
GO:0003725
GO:0003727
GO:0003729
GO:0003730
GO:0003735
GO:0003743
GO:0003755
GO:0003756
GO:0003774
GO:0003777
GO:0003779
GO:0003785
GO:0003823
GO:0003824
GO:0003841
GO:0003887
GO:0003924
GO:0003925
GO:0003950
GO:0004175
GO:0004177
GO:0004181
GO:0004197
GO:0004222
GO:0004252
GO:0004364
GO:0004386
GO:0004402
GO:0004435
GO:0004497
GO:0004519
GO:0004521
GO:0004540
GO:0004601
GO:0004602
GO:0004622
GO:0004623
GO:0004672
GO:0004674
GO:0004683
GO:0004693
GO:0004712
GO:0004713
GO:0004714
GO:0004715
GO:0004721
GO:0004722
GO:0004725
GO:0004745
GO:0004806
GO:0004842
GO:0004843
GO:0004857
GO:0004860
GO:0004864
GO:0004866
GO:0004867
GO:0004869
GO:0004879
GO:0004888
GO:0004896
GO:0004984
GO:0004993
GO:0005044
GO:0005080
GO:0005085
GO:0005096
GO:0005102
GO:0005109
GO:0005112
GO:0005125
GO:0005154
GO:0005158
GO:0005164
GO:0005178
GO:0005179
GO:0005184
GO:0005198
GO:0005200
GO:0005201
GO:0005212
GO:0005242
GO:0005244
GO:0005245
GO:0005246
GO:0005249
GO:0005251
GO:0005254
GO:0005261
GO:0005262
GO:0005267
GO:0005319
GO:0005385
GO:0005484
GO:0005496
GO:0005504
GO:0005506
GO:0005507
GO:0005516
GO:0005518
GO:0005525
GO:0005537
GO:0005539
GO:0005540
GO:0005543
GO:0005544
GO:0005546
GO:0005547
GO:0005549
GO:0008009
GO:0008013
GO:0008017
GO:0008022
GO:0008047
GO:0008083
GO:0008092
GO:0008093
GO:0008094
GO:0008134
GO:0008135
GO:0008137
GO:0008138
GO:0008139
GO:0008143
GO:0008146
GO:0008157
GO:0008168
GO:0008188
GO:0008198
GO:0008201
GO:0008233
GO:0008234
GO:0008236
GO:0008237
GO:0008266
GO:0008289
GO:0008307
GO:0008320
GO:0008327
GO:0008331
GO:0008375
GO:0008514
GO:0008528
GO:0008574
GO:0008656
GO:0009055
GO:0010314
GO:0015020
GO:0015026
GO:0015035
GO:0015171
GO:0015293
GO:0015297
GO:0015459
GO:0015485
GO:0015631
GO:0016018
GO:0016251
GO:0016279
GO:0016301
GO:0016491
GO:0016538
GO:0016616
GO:0016712
GO:0016740
GO:0016746
GO:0016779
GO:0016787
GO:0016791
GO:0016887
GO:0016922
GO:0017018
GO:0017022
GO:0017025
GO:0017046
GO:0017056
GO:0017075
GO:0017080
GO:0017116
GO:0017124
GO:0017134
GO:0017147
GO:0018024
GO:0019003
GO:0019706
GO:0019789
GO:0019825
GO:0019838
GO:0019843
GO:0019888
GO:0019894
GO:0019899
GO:0019900
GO:0019901
GO:0019902
GO:0019903
GO:0019904
GO:0019905
GO:0019955
GO:0020037
GO:0022857
GO:0023026
GO:0030020
GO:0030145
GO:0030159
GO:0030165
GO:0030170
GO:0030215
GO:0030234
GO:0030246
GO:0030276
GO:0030280
GO:0030295
GO:0030331
GO:0030332
GO:0030374
GO:0030507
GO:0030515
GO:0030527
GO:0030544
GO:0030594
GO:0030674
GO:0030742
GO:0030971
GO:0031072
GO:0031210
GO:0031267
GO:0031369
GO:0031418
GO:0031490
GO:0031491
GO:0031492
GO:0031593
GO:0031624
GO:0031625
GO:0031681
GO:0031683
GO:0032266
GO:0032452
GO:0033038
GO:0033691
GO:0034237
GO:0035035
GO:0035064
GO:0035091
GO:0035198
GO:0035255
GO:0035591
GO:0035925
GO:0036094
GO:0038023
GO:0038024
GO:0042056
GO:0042162
GO:0042169
GO:0042277
GO:0042393
GO:0042605
GO:0042626
GO:0042826
GO:0042923
GO:0043014
GO:0043015
GO:0043021
GO:0043022
GO:0043027
GO:0043130
GO:0043236
GO:0043274
GO:0043325
GO:0043425
GO:0043531
GO:0043539
GO:0043565
GO:0043621
GO:0044183
GO:0044325
GO:0044389
GO:0044877
GO:0045182
GO:0045296
GO:0045499
GO:0045505
GO:0046332
GO:0046875
GO:0046961
GO:0046966
GO:0046982
GO:0046983
GO:0047485
GO:0048018
GO:0048020
GO:0048027
GO:0048156
GO:0048306
GO:0048487
GO:0050321
GO:0050431
GO:0050660
GO:0050661
GO:0050681
GO:0050699
GO:0050750
GO:0050839
GO:0050840
GO:0051010
GO:0051015
GO:0051018
GO:0051019
GO:0051020
GO:0051059
GO:0051082
GO:0051087
GO:0051117
GO:0051219
GO:0051287
GO:0051537
GO:0051539
GO:0051721
GO:0051787
GO:0051879
GO:0051959
GO:0060090
GO:0061629
GO:0061630
GO:0061631
GO:0070006
GO:0070034
GO:0070182
GO:0070273
GO:0070300
GO:0070330
GO:0070412
GO:0070530
GO:0070577
GO:0070840
GO:0070888
GO:0071889
GO:0071949
GO:0080025
GO:0097110
GO:0097602
GO:0097718
GO:0098632
GO:0106310
GO:0120020
GO:0140297
GO:0140359
GO:0140416
GO:0140658
GO:0140662
GO:0140677
GO:0140678
GO:1901981
GO:1904315
GO:1990381
GO:1990404
GO:1990756
GO:1990782
GO:1990841
