cell_type,mean,std
monocyte,0.11248593925759279,0.041860465116279076
macrophages,0.09673790776152981,0.025
dendritic,0.011248593925759281,0.004186046511627906
NK_cells,0.09373828271466068,0.05155038759689922
B_cells,0.056242969628796394,0.020930232558139538
T_cells,0.5811773528308961,0.1246124031007752
platelets,0.048368953880764905,0.0375
