,coef,std_err,z_or_t,p_value,ci_lower,ci_upper
Intercept,0.6941926784678644,0.012424242039240743,55.87404658371314,0.0,0.6698204350372968,0.7185649218984319
gini_pow_1,-0.7658395786713241,0.06565800736809861,-11.664069766506866,4.6159398344785116e-30,-0.8946388191953834,-0.6370403381472649
gini_pow_2,1.112834326338184,0.07938082010974622,14.018932089636504,7.241401359959747e-42,0.9571154772267207,1.268553175449647
