go_id,Q,auc_sim,auc_real
SIMGO_193_Q2,Q2,0.43966827730609054,0.42490312395223656
SIMGO_193_Q3,Q3,0.4819154069165459,0.7773375521076712
SIMGO_194_Q2,Q2,0.5135615839488278,0.5042326940899693
SIMGO_194_Q3,Q3,0.4878291456708313,0.7726579453910315
SIMGO_195_Q2,Q2,0.43243466556222826,0.4924784375222753
SIMGO_195_Q3,Q3,0.48980102850831786,0.7056662072680037
SIMGO_196_Q2,Q2,0.47364410621016545,0.4840756636011501
SIMGO_196_Q3,Q3,0.5144793032834035,0.7861246643378246
SIMGO_197_Q2,Q2,0.44243010975357216,0.6211188992114219
SIMGO_197_Q3,Q3,0.49031710038885434,0.7832229984475494
SIMGO_198_Q2,Q2,0.5095023929500012,0.5637843303421748
SIMGO_198_Q3,Q3,0.49577774326407587,0.6828055892207885
SIMGO_199_Q2,Q2,0.4724388187110283,0.5471412391791606
SIMGO_199_Q3,Q3,0.47268689169600336,0.746785027827942
SIMGO_19_Q2,Q2,0.45864346195439587,0.4788902089999895
SIMGO_19_Q3,Q3,0.5259851821173006,0.7432302136051512
SIMGO_1_Q2,Q2,0.4737297347046778,0.5531980676328502
SIMGO_1_Q3,Q3,0.5259381284369894,0.7310547040231934
SIMGO_20_Q2,Q2,0.4585622627182992,0.558157600143628
SIMGO_20_Q3,Q3,0.4819168795011619,0.7879011993674477
SIMGO_21_Q2,Q2,0.48229799130254714,0.4885999107668506
SIMGO_21_Q3,Q3,0.5108114976645728,0.7421539724783238
SIMGO_22_Q2,Q2,0.4753978509468259,0.3987971293457855
SIMGO_22_Q3,Q3,0.5043746577391224,0.7285332335258192
SIMGO_23_Q2,Q2,0.4507062308736568,0.5400731817425808
SIMGO_23_Q3,Q3,0.48161743862313344,0.7316006790167457
SIMGO_24_Q2,Q2,0.46853571017694023,0.5312609594411576
SIMGO_24_Q3,Q3,0.48131265962587155,0.8016119612626598
SIMGO_25_Q2,Q2,0.4593919145900923,0.511922177344843
SIMGO_25_Q3,Q3,0.5122193230712593,0.7839771125366279
SIMGO_26_Q2,Q2,0.4940544281079589,0.5101914816662838
SIMGO_26_Q3,Q3,0.575606773889234,0.7900737889504018
SIMGO_27_Q2,Q2,0.4573792595660477,0.44985346766783885
SIMGO_27_Q3,Q3,0.5416942316099491,0.7797213509488958
SIMGO_28_Q2,Q2,0.45850881249856185,0.4501599771868541
SIMGO_28_Q3,Q3,0.5162614527967603,0.6712131365699484
SIMGO_29_Q2,Q2,0.5191517222337267,0.4473572959900305
SIMGO_29_Q3,Q3,0.5666588090471917,0.7868609111000214
SIMGO_2_Q2,Q2,0.49912918478636015,0.46252257389981943
SIMGO_2_Q3,Q3,0.4897821034950875,0.787493215465412
SIMGO_30_Q2,Q2,0.46962016520558664,0.5179666714177119
SIMGO_30_Q3,Q3,0.500314327788132,0.7923480198424956
SIMGO_31_Q2,Q2,0.4697496030924277,0.550836019567932
SIMGO_31_Q3,Q3,0.4917487862681485,0.7461725244171954
SIMGO_32_Q2,Q2,0.47373328961597755,0.4356245660444107
SIMGO_32_Q3,Q3,0.5360612388118082,0.7660787310940564
SIMGO_33_Q2,Q2,0.45643739214468143,0.4394676783998142
SIMGO_33_Q3,Q3,0.4354902211177838,0.7429022123998955
SIMGO_34_Q2,Q2,0.4615983065276914,0.46445870062806416
SIMGO_34_Q3,Q3,0.49332830583741755,0.789636938285687
SIMGO_35_Q2,Q2,0.49159216308874626,0.4705898624082128
SIMGO_35_Q3,Q3,0.4769564667172868,0.7825797390746417
SIMGO_36_Q2,Q2,0.49353405351924706,0.42412889427532613
SIMGO_36_Q3,Q3,0.5141247900416466,0.7473786310367677
SIMGO_37_Q2,Q2,0.4740438899242999,0.5084068609982658
SIMGO_37_Q3,Q3,0.4862161823243828,0.7844424642777936
SIMGO_38_Q2,Q2,0.5055241135730886,0.48279865022219054
SIMGO_38_Q3,Q3,0.4894015439129334,0.7919360518999073
SIMGO_39_Q2,Q2,0.47328126366167367,0.4709878567524536
SIMGO_39_Q3,Q3,0.4601825889878281,0.7196426713976076
