comparison,pearson_r,r2,p_value
CT Profile vs MGC Gini,0.24271825681983852,0.05891215219366109,3.630935669050482e-20
CT Profile vs Composition-Induced Co-expression,0.9129888118476199,0.8335485705589287,0.0
