cell_type,mean,stdev
astrocyte,0.15435766454866726,0.03316382790657303
endocyte,0.1697287512616628,0.02956703450259712
microglia,0.08995916065282679,0.028053249473872482
neuron,0.4633406599453644,0.04678983014062809
oligodendrocyte,0.12261376359147869,0.034767971945314016
