go_id,auc_sim,auc_real
GO:0000045,0.532990142123742,0.5333853712264254
GO:0000070,0.510982453467408,0.6221836615324624
GO:0000077,0.4969352984361365,0.5328629371841384
GO:0000079,0.49136407557149,0.5301162372945795
GO:0000082,0.480133607564936,0.4987224749542085
GO:0000086,0.5080039316369676,0.5549526153356895
GO:0000132,0.511080252471385,0.46599989561545524
GO:0000165,0.4565091283218775,0.49382932849401284
GO:0000184,0.4243709853504965,0.6358732830711903
GO:0000209,0.494443591187563,0.5675724036188398
GO:0000226,0.4851937776414345,0.5694151949332504
GO:0000245,0.5006851400730815,0.6410233869221609
GO:0000278,0.4914743282924055,0.5528364640451353
GO:0000281,0.4815523911328295,0.575410971851466
GO:0000289,0.4991628614916285,0.6255000252525252
GO:0000375,0.5772855602080955,0.6867095052506226
GO:0000380,0.5080120074412311,0.6816175014456721
GO:0000381,0.5460321307129705,0.6139704980136346
GO:0000387,0.47372753921120747,0.6452256398596855
GO:0000398,0.47464528142352946,0.6686180784288434
GO:0000413,0.4343453015244765,0.5663670713983214
GO:0000422,0.5230109138323725,0.6003192575498205
GO:0000462,0.4358663240705495,0.6365559533861609
GO:0000723,0.45472510338282146,0.595911063559933
GO:0000724,0.4735965605431075,0.6223149745217852
GO:0000902,0.4867092288576945,0.5301469594489682
GO:0001501,0.477827217882403,0.5505548116089186
GO:0001503,0.4745513105389365,0.6301203195959024
GO:0001523,0.546991586721486,0.6384516992954493
GO:0001525,0.4796130778273635,0.6839158928936455
GO:0001541,0.4557339954448085,0.5743627029789509
GO:0001558,0.460943867155664,0.5084474645944654
GO:0001568,0.5313127079681985,0.6083046765990008
GO:0001569,0.507316027571891,0.6937542495126705
GO:0001570,0.4386216725199775,0.6925613342882566
GO:0001578,0.5500622032650371,0.4983592306192735
GO:0001580,0.6738598894130775,0.6859566686672669
GO:0001649,0.476602383580778,0.5476794990383316
GO:0001654,0.5433073405253279,0.5428609686689085
GO:0001656,0.513367024516522,0.7036248099060599
GO:0001657,0.5449466089466091,0.580778127061975
GO:0001658,0.5976720004847145,0.5402529969001322
GO:0001659,0.6357308339463426,0.6281655916305916
GO:0001662,0.46582183859411597,0.6372076374899821
GO:0001666,0.48910152044183497,0.5873171733577838
GO:0001675,0.467715039730874,0.6161500673876331
GO:0001676,0.555136731309439,0.5642722698660199
GO:0001678,0.47957746478873253,0.43320356748506106
GO:0001701,0.473925798822652,0.5607909708913704
GO:0001707,0.509285349625004,0.5820257326661902
GO:0001708,0.5408617436261944,0.623718494937245
GO:0001755,0.499512590946717,0.5463836467469402
GO:0001756,0.4665870717539675,0.5664947137577331
GO:0001764,0.46967420704789653,0.5568724062844437
GO:0001774,0.516287388690159,0.6194979511746238
GO:0001778,0.5500855388585635,0.5562878994544037
GO:0001782,0.458135056596112,0.6231146855039514
GO:0001817,0.4831045369239815,0.6151654036458333
GO:0001818,0.45404501988660395,0.5446690276604501
GO:0001819,0.538508140515895,0.6118980044273715
GO:0001822,0.485387803045226,0.5691713241954308
GO:0001824,0.5554223845640025,0.5164928257555377
GO:0001835,0.454876629802412,0.4464628342368224
GO:0001836,0.4432199581004575,0.6730776693324427
GO:0001837,0.463856268957687,0.6064152151639345
GO:0001843,0.46032921103129754,0.5646542439223314
GO:0001889,0.46880791842428704,0.5268463247306222
GO:0001890,0.4818842085336065,0.5417750891980123
GO:0001892,0.433836462032809,0.5753811843069587
GO:0001894,0.5395982886470669,0.48159376262626263
GO:0001895,0.5700832888956605,0.699812828349014
GO:0001916,0.622515198403639,0.6609903615044823
GO:0001932,0.46463876394500747,0.4619832093076549
GO:0001933,0.48812070282658504,0.47359781499243214
GO:0001934,0.49526228146778295,0.5576079760321578
GO:0001935,0.5330288034513385,0.675657551745042
GO:0001937,0.574255431196386,0.649339462058212
GO:0001938,0.484488657122928,0.6608748665146085
GO:0001942,0.521009550661688,0.5835450454355018
GO:0001947,0.5439681264229275,0.5620759366236998
GO:0001954,0.461586842410533,0.5712493531029406
GO:0001958,0.5025880793207526,0.5016472878570208
GO:0001974,0.5518269450582944,0.5931206797547076
GO:0001975,0.547170386168025,0.6734889177714236
GO:0002027,0.586625279301239,0.622457881604109
GO:0002040,0.471919199614027,0.6588111313958458
GO:0002042,0.4280407776678425,0.6563836891078271
GO:0002052,0.602073972533191,0.5796377026064526
GO:0002053,0.5155594703436674,0.651517887295196
GO:0002062,0.49603174603174605,0.623352210803232
GO:0002088,0.5338769910829965,0.5406123477549959
GO:0002092,0.5745336886181955,0.41913025096357887
GO:0002181,0.4772649311293145,0.8810789379979025
GO:0002218,0.4307792117151415,0.6050287817213692
GO:0002223,0.5079839180174011,0.6340081916265435
GO:0002224,0.5247121686677105,0.7736918787518905
GO:0002230,0.543234789769971,0.6660054260991761
GO:0002244,0.493667763656309,0.5816047107348312
GO:0002250,0.5172968264048325,0.7085423257374108
GO:0002286,0.594649423101306,0.6130143410744827
GO:0002376,0.4460553415902395,0.6686492225556413
GO:0002437,0.425822340605446,0.6626614607009114
GO:0002548,0.5516669204802149,0.7912450876929746
GO:0002639,0.5198325085649029,0.6350484847992725
GO:0002682,0.5738655122655125,0.6933852188597653
GO:0002862,0.45904474380766347,0.6175818497799795
