go_id,Q,auc_sim,auc_real
SIMGO_100_Q2,Q2,0.5334194348600682,0.543325387052298
SIMGO_100_Q3,Q3,0.7538756962767517,0.8300726583777382
SIMGO_101_Q2,Q2,0.5107583158559411,0.4904124172481661
SIMGO_101_Q3,Q3,0.7441845612610786,0.8353425222024867
SIMGO_102_Q2,Q2,0.48558257222109463,0.5589149624157083
SIMGO_102_Q3,Q3,0.7440799224229303,0.8252257059560272
SIMGO_103_Q2,Q2,0.5345779942719256,0.478663730017762
SIMGO_103_Q3,Q3,0.7163285749723746,0.7816613786680557
SIMGO_104_Q2,Q2,0.465759014951627,0.5873914979277679
SIMGO_104_Q3,Q3,0.7209892429470266,0.8150116755476614
SIMGO_105_Q2,Q2,0.46264244638387125,0.4541695346952522
SIMGO_105_Q3,Q3,0.7338724488645332,0.8083465719360567
SIMGO_106_Q2,Q2,0.521824729946102,0.4344958284988121
SIMGO_106_Q3,Q3,0.7211046613896218,0.8161190763765542
SIMGO_107_Q2,Q2,0.4848457704711002,0.6218546670560594
SIMGO_107_Q3,Q3,0.6865811063753016,0.8145073297809355
SIMGO_108_Q2,Q2,0.4272077216246081,0.4907093239872439
SIMGO_108_Q3,Q3,0.7557044403851791,0.8165635523978685
SIMGO_109_Q2,Q2,0.5319081703989356,0.4583538661930136
SIMGO_109_Q3,Q3,0.7128749069751709,0.7970667676982944
SIMGO_10_Q2,Q2,0.5504840899352772,0.6150548689537609
SIMGO_10_Q3,Q3,0.7513595381458178,0.7603337438034795
SIMGO_110_Q2,Q2,0.5167335092348285,0.5850430669339606
SIMGO_110_Q3,Q3,0.7061865006878201,0.8204535168871626
SIMGO_111_Q2,Q2,0.4960585887287734,0.5284524807578449
SIMGO_111_Q3,Q3,0.7367732449315563,0.7944154410894019
SIMGO_112_Q2,Q2,0.5357125138127777,0.5863305786428611
SIMGO_112_Q3,Q3,0.7759851611302798,0.8466267802220065
SIMGO_113_Q2,Q2,0.43322210946485357,0.5727528715216104
SIMGO_113_Q3,Q3,0.7568476647948944,0.8515769804618118
SIMGO_114_Q2,Q2,0.5326245405137225,0.4669653626345868
SIMGO_114_Q3,Q3,0.6687092889520331,0.7695675547661338
SIMGO_115_Q2,Q2,0.5197965857068759,0.5674588740488145
SIMGO_115_Q3,Q3,0.6422152312653633,0.763723332596592
SIMGO_116_Q2,Q2,0.48870383149538815,0.4884902592276845
SIMGO_116_Q3,Q3,0.6956357485961707,0.7492085592732037
SIMGO_117_Q2,Q2,0.47918124619443886,0.5765028323059154
SIMGO_117_Q3,Q3,0.665658525584647,0.8125062359887595
SIMGO_118_Q2,Q2,0.44238490855377405,0.5068588372417313
SIMGO_118_Q3,Q3,0.7999279705928782,0.8419514697988696
SIMGO_119_Q2,Q2,0.4489446812349186,0.4301293309650681
SIMGO_119_Q3,Q3,0.6547577295176239,0.7882307040667604
SIMGO_11_Q2,Q2,0.5183302437814312,0.4805499909229398
SIMGO_11_Q3,Q3,0.7751918002841485,0.8249164851125635
SIMGO_120_Q2,Q2,0.5635388223620414,0.5123063566478824
SIMGO_120_Q3,Q3,0.7907608867239473,0.8141896898319178
SIMGO_121_Q2,Q2,0.5179766817761541,0.5025098670708219
SIMGO_121_Q3,Q3,0.6732687008095979,0.7910269707087211
SIMGO_122_Q2,Q2,0.49308616918115594,0.45715058431069233
SIMGO_122_Q3,Q3,0.7124129625871051,0.8108112255772646
SIMGO_123_Q2,Q2,0.45915729652932824,0.6120895677915926
SIMGO_123_Q3,Q3,0.716630629411632,0.8111786808120993
SIMGO_124_Q2,Q2,0.4902873959813274,0.42526684661647013
SIMGO_124_Q3,Q3,0.6599487630516653,0.8108108577427324
SIMGO_125_Q2,Q2,0.45964310037660966,0.42845594813341337
SIMGO_125_Q3,Q3,0.7639895812191326,0.8030397158081705
SIMGO_126_Q2,Q2,0.45885379879575133,0.47745140138717856
SIMGO_126_Q3,Q3,0.697560607085673,0.8206331765126877
SIMGO_127_Q2,Q2,0.5516339895812191,0.4877304684622105
SIMGO_127_Q3,Q3,0.7176555938930609,0.7923521518108048
SIMGO_128_Q2,Q2,0.5087285930135534,0.43365991711071644
SIMGO_128_Q3,Q3,0.6595405813769929,0.7976386027235052
SIMGO_129_Q2,Q2,0.480425050177029,0.6158467374890162
SIMGO_129_Q3,Q3,0.7091502153665742,0.8281202592092697
SIMGO_12_Q2,Q2,0.4999297747107774,0.48304199916333185
SIMGO_12_Q3,Q3,0.7242647091987462,0.8412272004883541
SIMGO_130_Q2,Q2,0.46912292808335027,0.5818145937924284
SIMGO_130_Q3,Q3,0.7090865300047358,0.855002789092019
SIMGO_131_Q2,Q2,0.4980128543400311,0.5512040457621589
SIMGO_131_Q3,Q3,0.6351566199851161,0.8217141335227274
SIMGO_132_Q2,Q2,0.4975422050831021,0.48645022260111775
SIMGO_132_Q3,Q3,0.7211077734929978,0.8117242994219623
SIMGO_133_Q2,Q2,0.5417973524569831,0.5832402737325662
SIMGO_133_Q3,Q3,0.6679405092122771,0.7708556068679693
SIMGO_134_Q2,Q2,0.4350875673725278,0.45599096965678376
SIMGO_134_Q3,Q3,0.6151176510384954,0.7582801300874616
SIMGO_135_Q2,Q2,0.4558450713754144,0.5607092758335833
SIMGO_135_Q3,Q3,0.7016097241954762,0.8005585551450856
SIMGO_136_Q2,Q2,0.5572980177254583,0.46976582151916046
SIMGO_136_Q3,Q3,0.7358636086868278,0.8064039657731047
SIMGO_137_Q2,Q2,0.4267963376406648,0.4448101835405565
SIMGO_137_Q3,Q3,0.7689249261439235,0.7961080402605092
SIMGO_138_Q2,Q2,0.539251516586609,0.5672118164907822
SIMGO_138_Q3,Q3,0.7369097264506236,0.8254005920663114
SIMGO_139_Q2,Q2,0.5796028685474595,0.5782084777112128
SIMGO_139_Q3,Q3,0.7763157657352909,0.803212244640207
SIMGO_13_Q2,Q2,0.5269487856031392,0.44906207223208994
SIMGO_13_Q3,Q3,0.6853457366438895,0.7364794161213852
SIMGO_140_Q2,Q2,0.529822474798728,0.457085754884547
SIMGO_140_Q3,Q3,0.6821351735335903,0.7607530022207487
SIMGO_141_Q2,Q2,0.5798627066278782,0.5344350786359595
SIMGO_141_Q3,Q3,0.728677942403536,0.7712427246797807
SIMGO_142_Q2,Q2,0.5023595606972915,0.5300593602980644
SIMGO_142_Q3,Q3,0.7375987190762916,0.844306169330965
SIMGO_143_Q2,Q2,0.41779257154455046,0.4621294454443076
SIMGO_143_Q3,Q3,0.7441188462666035,0.7902548072369043
SIMGO_144_Q2,Q2,0.4774138420945808,0.47444996961158076
SIMGO_144_Q3,Q3,0.7489418397492276,0.8310438045320114
SIMGO_145_Q2,Q2,0.5116817536025979,0.4999888436319241
SIMGO_145_Q3,Q3,0.703940599418172,0.816515371580731
SIMGO_146_Q2,Q2,0.4707745980199807,0.5038600828892836
SIMGO_146_Q3,Q3,0.7857264055206008,0.8054067495559503
SIMGO_147_Q2,Q2,0.4901401799607604,0.44463904939324095
SIMGO_147_Q3,Q3,0.6338227003134655,0.7647114268798104
SIMGO_148_Q2,Q2,0.48332855242090067,0.5358584925765433
SIMGO_148_Q3,Q3,0.731041878086733,0.774629366507741
SIMGO_149_Q2,Q2,0.4953516902329567,0.4638813636028754
SIMGO_149_Q3,Q3,0.7191296935254718,0.81603585553582
SIMGO_14_Q2,Q2,0.4965557585188191,0.5310304945900514
SIMGO_14_Q3,Q3,0.6714438355546535,0.8026594781766705
SIMGO_150_Q2,Q2,0.5026195791895001,0.48646179996421546
SIMGO_150_Q3,Q3,0.7418530997000653,0.8527730685650845
SIMGO_151_Q2,Q2,0.4841067586766796,0.4268463262921916
SIMGO_151_Q3,Q3,0.6540804636583001,0.7733971817643576
SIMGO_152_Q2,Q2,0.5713371219809215,0.5503334806815908
SIMGO_152_Q3,Q3,0.7312893579595426,0.7385522507446349
SIMGO_153_Q2,Q2,0.44178079967525874,0.41053796710683826
SIMGO_153_Q3,Q3,0.6894437904517061,0.7913166853456667
SIMGO_154_Q2,Q2,0.5860613400085696,0.48065501562944024
SIMGO_154_Q3,Q3,0.781301761270099,0.8000369423131573
