GO ID,n_genes,n_neurons_peak,pearson_r_exci_inh,pearson_p_exci_inh,auc_all,auc_noneurons
GO:0050911,98,83,0.9714281138776029,9.047983250104776e-62,0.838257343746012,0.22136593037796998
GO:0007631,24,17,0.9615667454910161,7.794070994444778e-14,0.7817646872224335,0.5257486359599035
GO:0007608,46,35,0.9867131773742475,2.2779207960186292e-36,0.7400077954870905,0.290918681206945
GO:0007586,21,16,0.9950793283033058,1.522797916645185e-20,0.7220277058913075,0.2553117456451295
GO:0051932,20,13,0.9151487320503178,1.586372656529692e-08,0.7100679909683635,0.5294352690463504
GO:0017158,16,11,0.9995756030250337,6.64139641602722e-23,0.7075984681325931,0.5330213802023891
