,Astrocytes,Excitatory neurons,Inhibitory neurons,Microglial cells,Oligodendrocyte precursor cells,Oligodendrocytes
Astrocytes,1.0,0.19722860218413982,0.3127859558581138,0.3075513267528969,0.31150813878182265,0.09444206691235456
Excitatory neurons,0.19722860218413982,1.0,0.9714281138776025,0.21775478085498162,0.8244471614334377,0.762176238101245
Inhibitory neurons,0.3127859558581138,0.9714281138776025,1.0,0.18649362731727062,0.9066910798869237,0.8432883645137631
Microglial cells,0.3075513267528969,0.21775478085498162,0.18649362731727062,1.0,0.21760423351986138,0.1368094812921079
Oligodendrocyte precursor cells,0.31150813878182265,0.8244471614334377,0.9066910798869237,0.21760423351986138,1.0,0.9656683474630062
Oligodendrocytes,0.09444206691235456,0.762176238101245,0.8432883645137631,0.1368094812921079,0.9656683474630062,1.0
