,Astrocytes,Excitatory neurons,Inhibitory neurons,Microglial cells,Oligodendrocyte precursor cells,Oligodendrocytes
Astrocytes,1.0,0.4201728838597864,0.6433081044539584,0.4845086137097745,0.7190401150349817,0.4159178232409259
Excitatory neurons,0.4201728838597864,1.0,0.9615667454910162,0.4422741688208089,0.906563089082937,0.8972861264645066
Inhibitory neurons,0.6433081044539584,0.9615667454910162,1.0,0.4910352599083621,0.9586900804714182,0.8605019620427262
Microglial cells,0.4845086137097745,0.4422741688208089,0.4910352599083621,1.0,0.653681951429137,0.7741879726308962
Oligodendrocyte precursor cells,0.7190401150349817,0.906563089082937,0.9586900804714182,0.653681951429137,1.0,0.9027734088889101
Oligodendrocytes,0.4159178232409259,0.8972861264645066,0.8605019620427262,0.7741879726308962,0.9027734088889101,1.0
