,Astrocytes,Excitatory neurons,Inhibitory neurons,Microglial cells,Oligodendrocyte precursor cells,Oligodendrocytes
Astrocytes,1.0,0.02350156967357276,-0.018573545524099712,0.20272187956025609,0.06523598479401561,0.10781817287664383
Excitatory neurons,0.02350156967357276,1.0,0.9151487320503178,0.20442825388761796,0.3667915265548312,0.10580570934450156
Inhibitory neurons,-0.018573545524099712,0.9151487320503178,1.0,0.29666867427970434,0.24562200369115372,0.1784495995393109
Microglial cells,0.20272187956025609,0.20442825388761796,0.29666867427970434,1.0,0.7031848785824708,0.8975818480338439
Oligodendrocyte precursor cells,0.06523598479401561,0.3667915265548312,0.24562200369115372,0.7031848785824708,1.0,0.7856138223857432
Oligodendrocytes,0.10781817287664383,0.10580570934450156,0.1784495995393109,0.8975818480338439,0.7856138223857432,1.0
