,Astrocytes,Excitatory neurons,Inhibitory neurons,Microglial cells,Oligodendrocyte precursor cells,Oligodendrocytes
Astrocytes,1.0,0.9532326458709705,0.9877431742220596,0.6401938598969049,0.9792734449241847,0.9060183320829125
Excitatory neurons,0.9532326458709705,1.0,0.9867131773742475,0.5081065126041806,0.9724225239294416,0.9735192439210636
Inhibitory neurons,0.9877431742220596,0.9867131773742475,1.0,0.605466928643438,0.9822828150870803,0.9419644848404325
Microglial cells,0.6401938598969049,0.5081065126041806,0.605466928643438,1.0,0.48559978357199846,0.3165917976870374
Oligodendrocyte precursor cells,0.9792734449241847,0.9724225239294416,0.9822828150870803,0.48559978357199846,1.0,0.9665793588643004
Oligodendrocytes,0.9060183320829125,0.9735192439210636,0.9419644848404325,0.3165917976870374,0.9665793588643004,1.0
