,Astrocytes,Excitatory neurons,Inhibitory neurons,Microglial cells,Oligodendrocyte precursor cells,Oligodendrocytes
Astrocytes,1.0,0.6733742537445452,0.6807036920064821,0.8108319607284296,0.9660135538329808,0.725844699412139
Excitatory neurons,0.6733742537445452,1.0,0.9995756030250338,0.9060392648797372,0.4750182681096698,0.4638233394657028
Inhibitory neurons,0.6807036920064821,0.9995756030250338,1.0,0.9070593397223552,0.48465108736000984,0.47156545374047826
Microglial cells,0.8108319607284296,0.9060392648797372,0.9070593397223552,1.0,0.6846654438309832,0.4451280100357
Oligodendrocyte precursor cells,0.9660135538329808,0.4750182681096698,0.48465108736000984,0.6846654438309832,1.0,0.6984502017675905
Oligodendrocytes,0.725844699412139,0.4638233394657028,0.47156545374047826,0.4451280100357,0.6984502017675905,1.0
