,Astrocytes,Excitatory neurons,Inhibitory neurons,Microglial cells,Oligodendrocyte precursor cells,Oligodendrocytes
Astrocytes,1.0,0.9978928684225312,0.9956700907776763,0.5451693969742653,0.9892833545767894,0.6503957956399083
Excitatory neurons,0.9978928684225312,1.0,0.9950793283033057,0.5112407657145768,0.9945005240968007,0.613097800528395
Inhibitory neurons,0.9956700907776763,0.9950793283033057,1.0,0.49259778996894776,0.9948560163051261,0.5934531709876752
Microglial cells,0.5451693969742653,0.5112407657145768,0.49259778996894776,1.0,0.44003448702875586,0.8838025221318158
Oligodendrocyte precursor cells,0.9892833545767894,0.9945005240968007,0.9948560163051261,0.44003448702875586,1.0,0.5333986494725084
Oligodendrocytes,0.6503957956399083,0.613097800528395,0.5934531709876752,0.8838025221318158,0.5333986494725084,1.0
